                  Header
Time              K.E              T      
41200.000000    35227.015625   310.721008 
41300.000000    34954.320312   308.315674 
41400.000000    34592.261719   305.122101 
41500.000000    35104.054688   309.636383 
41600.000000    35529.558594   313.389557 
41700.000000    35645.199219   314.409607 
41800.000000    34756.277344   306.568878 
41900.000000    35086.402344   309.480743 
42000.000000    35903.015625   316.683655 
42100.000000    35091.421875   309.524994 
42200.000000    35327.582031   311.608093 
42300.000000    35471.113281   312.874084 
42400.000000    34810.625000   307.048218 
42500.000000    35145.847656   310.005066 
42600.000000    34676.187500   305.862396 
42700.000000    34924.402344   308.051727 
42800.000000    34959.386719   308.360352 
42900.000000    35463.382812   312.805908 
43000.000000    35092.179688   309.531677 
43100.000000    34792.476562   306.888153 
43200.000000    35552.023438   313.587738 
43300.000000    35449.085938   312.679718 
43400.000000    35022.960938   308.921173 
43500.000000    35126.402344   309.833527 
43600.000000    34954.667969   308.318756 
43700.000000    35783.187500   315.626709 
43800.000000    34940.246094   308.191498 
43900.000000    34740.347656   306.428345 
44000.000000    35641.867188   314.380188 
44100.000000    34856.773438   307.455292 
44200.000000    35195.820312   310.445862 
44300.000000    34630.308594   305.457733 
44400.000000    35578.410156   313.820465 
44500.000000    34888.609375   307.736084 
44600.000000    35168.542969   310.205231 
44700.000000    34904.062500   307.872437 
44800.000000    34964.695312   308.407196 
44900.000000    35167.171875   310.193146 
45000.000000    34671.339844   305.819641 
45100.000000    35229.558594   310.743469 
45200.000000    35279.867188   311.187164 
45300.000000    34605.644531   305.240173 
45400.000000    34907.218750   307.900177 
45500.000000    35232.035156   310.765289 
45600.000000    35077.472656   309.401917 
45700.000000    35485.417969   313.000244 
45800.000000    35265.398438   311.059540 
45900.000000    35101.226562   309.611481 
46000.000000    35345.871094   311.769379 
46100.000000    35355.578125   311.855011 
46200.000000    35140.968750   309.962036 
46300.000000    35190.996094   310.403320 
46400.000000    34938.656250   308.177490 
46500.000000    34389.531250   303.333954 
46600.000000    35472.859375   312.889465 
46700.000000    35586.359375   313.890625 
46800.000000    34963.156250   308.393646 
46900.000000    34989.609375   308.626923 
47000.000000    34885.281250   307.706726 
47100.000000    34919.398438   308.007629 
47200.000000    35198.949219   310.473419 
47300.000000    35132.390625   309.886353 
47400.000000    34823.593750   307.162598 
47500.000000    35345.152344   311.763031 
47600.000000    35843.441406   316.158203 
47700.000000    35393.968750   312.193573 
47800.000000    35034.707031   309.024750 
47900.000000    35661.195312   314.550659 
48000.000000    34819.890625   307.129944 
48100.000000    35647.097656   314.426300 
48200.000000    34901.890625   307.853241 
48300.000000    35466.187500   312.830597 
48400.000000    35104.707031   309.642181 
48500.000000    35119.402344   309.771759 
48600.000000    34673.304688   305.837006 
48700.000000    35093.304688   309.541595 
48800.000000    35195.261719   310.440918 
48900.000000    35446.332031   312.655457 
49000.000000    34978.007812   308.524658 
49100.000000    35295.015625   311.320831 
49200.000000    35472.968750   312.890442 
49300.000000    35858.679688   316.292664 
49400.000000    35733.375000   315.187347 
49500.000000    35256.800781   310.983673 
49600.000000    35003.425781   308.748810 
49700.000000    35622.363281   314.208221 
49800.000000    35012.890625   308.832306 
49900.000000    35534.488281   313.433105 
50000.000000    34867.031250   307.545776 
